full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,74533,74533,12055,25,25,4,https://github.com/shareAI-lab/learn-claude-code
Alishahryar1/free-claude-code,45755,45755,7571,15,15,1,https://github.com/Alishahryar1/free-claude-code
ChinaSiro/claude-code-sourcemap,9619,9619,14651,-1,-1,2,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1748,1748,2596,0,0,1,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,52513,52513,4592,1,1,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,64641,64641,6424,6,6,1,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30276,30276,3409,-2,-2,0,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,36704,36704,3063,9,9,-1,https://github.com/musistudio/claude-code-router
LING71671/Open-ClaudeCode,945,945,1226,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,24067,24067,3443,23,23,6,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24421,24421,2838,3,3,0,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3280,3280,3820,0,0,0,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8655,8655,2077,-1,-1,0,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2330,2330,3532,0,0,0,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,12349,12349,2032,2,2,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3807,3807,2039,1,1,0,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1509,1509,2938,2,2,0,https://github.com/pedrohcgs/claude-code-my-workflow
diet103/claude-code-infrastructure-showcase,10003,10003,1229,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
ykdojo/claude-code-tips,9774,9774,782,7,7,0,https://github.com/ykdojo/claude-code-tips
frankbria/ralph-claude-code,9607,9607,722,0,0,0,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2805,2805,2452,1,1,0,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,791,791,1755,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4113,4113,812,2,2,0,https://github.com/lintsinghua/claude-code-book
wanshuiyin/Auto-claude-code-research-in-sleep,14839,14839,1306,8,8,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6026,6026,566,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,621,621,1306,-2,-2,0,https://github.com/huangserva/claude-code-cli
FlorianBruniaux/claude-code-ultimate-guide,5749,5749,752,1,1,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,3218,3218,614,2,2,0,https://github.com/nicedreamzapp/claude-code-local
OneRedOak/claude-code-workflows,3885,3885,565,0,0,0,https://github.com/OneRedOak/claude-code-workflows
