ID,Display Name,Category,Sub-Category,Link,Author Name,Author Link,Active,Date Added,Last Checked,Description,Stale
docs-1444912b,cxpak,"Documentation, Knowledge & Learning",,https://github.com/Barnett-Studios/cxpak,Barnett Studios,https://github.com/Barnett-Studios,TRUE,,,"A code-intelligence Claude Code plugin and MCP server (Rust, single binary, 43 languages) that builds a typed dependency graph and packs token-budgeted, annotated context bundles for any task. Exceptionally engineered and security-forward — 2,400+ tests, recorded ADRs, a sandboxed WASM plugin SDK, and cosign-signed, SBOM-attested release images.",FALSE
docs-bb02117c,Librarian,"Documentation, Knowledge & Learning",Obsidian,https://github.com/ngmeyer/librarian-mcp,ngmeyer,https://github.com/ngmeyer,TRUE,,,"A standalone MCP server that gives Claude a markdown second-brain over any Obsidian vault or folder of `.md` files, with trigram search, auto-wikilinks on write, and real graph analytics (Louvain communities, PageRank, shortest-path, D3 visualization). Runs entirely locally with no network calls or telemetry, productionizing the ""LLM wiki"" pattern.",FALSE
docs-096c7963,NotebookLM MCP,"Documentation, Knowledge & Learning",,https://github.com/roomi-fields/notebooklm-mcp,Romain Peyrichou,https://github.com/roomi-fields,TRUE,,,"A mature MCP server (plus a 33-endpoint REST API) that drives Google NotebookLM for citation-backed Q&A and full Studio generation (audio, video, infographics, reports), with multi-account TOTP re-auth. Notably well-maintained and security-attentive — batch-tested on overnight 1,000-question runs, with a documented changelog that includes patching a transitive XSS advisory.",FALSE
docs-9a5742e2,showreel,"Documentation, Knowledge & Learning",,https://github.com/HeyRenan/showreel,HeyRenan,https://github.com/HeyRenan,TRUE,,,"A Claude Code plugin that turns CSS selectors + text into finished visual documentation — annotated screenshots, flow GIFs/MP4s, terminal recordings, and before/after composites — placing every annotation deterministically and pixel-verifying each artifact (PASS/FAIL) before it is saved. Self-contained (bundles its own headless Chromium, no browser MCP, no telemetry); every image in its README is generated by the tool itself.",FALSE
docs-5e43dc2a,Bedrock,"Documentation, Knowledge & Learning",Obsidian,https://github.com/iurykrieger/claude-bedrock,Iury Krieger,https://github.com/iurykrieger,TRUE,,,"A Claude Code plugin that turns an Obsidian vault into a structured second brain via 8 skills, building an entity-typed (actors/people/teams/topics…) Zettelkasten graph with bidirectional wikilinks and ingesting Confluence, Google Docs, GitHub, and docling-supported files. Operates only on local markdown, with conscientious, opt-out error reporting that explicitly never transmits vault content or paths.",FALSE
docs-e20cca04,RAG Learning Academy,"Documentation, Knowledge & Learning",,https://github.com/TakaGoto/rag-learning-academy,Taka Goto,https://github.com/TakaGoto,TRUE,,,"A multi-agent Claude Code learning environment for mastering Retrieval-Augmented Generation, with 20 specialist agents, 22 slash commands, and a 9-module hands-on curriculum that runs zero-config inside Claude Code. Quality is evident — 616 tests, CI, and weekly/monthly content-freshness automation that opens issues for stale material.",FALSE
research-d478f22a,AI Research Skills,Research & Scientific Inquiry,,https://github.com/WenyuChiou/ai-research-skills,Wenyu Chiou,https://github.com/WenyuChiou,TRUE,,,"A catalog of 15 Claude Code skills mapped to 8 research-workflow stages (literature → gap analysis → design → drafting → reviewer response), where each stage emits an explicit YAML/Markdown deliverable the next stage consumes. Thoughtfully designed around anti-hallucination — schemas force ""gap"" status on unsupported claims, and downstream skills refuse malformed, overconfident handoffs.",FALSE
docs-7f4ffbef,claude-code-android,"Documentation, Knowledge & Learning",,https://github.com/ferrumclaudepilgrim/claude-code-android,ferrumclaudepilgrim,https://github.com/ferrumclaudepilgrim,TRUE,,,"A thorough, device-tested guide and toolkit for running Claude Code natively on Android via three paths (Termux, proot-Ubuntu, and the Android Virtualization Framework), with a verification harness and per-device results. Unusually security-aware for a setup guide — it ships a threat model, an SSRF-guard WebFetch hook, a biometric approval gate, and a permission matrix.",FALSE
docs-de625d15,Bloom,"Documentation, Knowledge & Learning",,https://github.com/Li-Evan/Bloom,Li-Evan,https://github.com/Li-Evan,TRUE,,,"A self-contained Claude Code skill that turns Benjamin Bloom's ""2-sigma"" tutoring research into a personal AI tutor: it generates a structured syllabus, teaches one lesson at a time, and adapts each next lesson to the learner's annotations and feedback. The skill is dependency-free and makes no network calls beyond the configured LLM endpoint (an optional web app is also included).",FALSE
docs-b7833e3e,MDXG Redline,"Documentation, Knowledge & Learning",,https://github.com/oubakiou/mdxg-redline,oubakiou,https://github.com/oubakiou,TRUE,,,"A Claude Code skill plus single-file HTML tool that closes the human-review loop on AI-written docs: a person leaves inline comments in the browser, which export as structured JSON keyed by heading path and line, and the skill polls for that file and applies each comment to the exact lines. Strongly privacy-respecting — the local/CLI build enforces a strict CSP (`connect-src 'none'`), so document text and comments never leave the machine.",FALSE
