transaction_id,customer_id,product_name,category,quantity,price,total_amount,transaction_date,store_location,payment_method
T001,C1001,Wireless Headphones,Electronics,1,89.99,89.99,2024-01-15,New York,Credit Card
T002,C1002,Running Shoes,Sports,1,129.99,129.99,2024-01-15,California,Debit Card
T003,C1003,Coffee Maker,Appliances,1,79.99,79.99,2024-01-16,Texas,Cash
T004,C1001,Phone Case,Electronics,2,19.99,39.98,2024-01-16,New York,Credit Card
T005,C1004,Yoga Mat,Sports,1,39.99,39.99,2024-01-17,Florida,Credit Card
T006,C1002,Bluetooth Speaker,Electronics,1,59.99,59.99,2024-01-17,California,Debit Card
T007,C1005,Kitchen Knife Set,Home,1,149.99,149.99,2024-01-18,New York,Credit Card
T008,C1003,Protein Powder,Health,1,49.99,49.99,2024-01-18,Texas,Cash
T009,C1006,Laptop Stand,Electronics,1,45.99,45.99,2024-01-19,California,Credit Card
T010,C1004,Water Bottle,Sports,2,24.99,49.98,2024-01-19,Florida,Debit Card
T011,C1007,Hair Dryer,Appliances,1,69.99,69.99,2024-01-20,New York,Credit Card
T012,C1008,Office Chair,Furniture,1,199.99,199.99,2024-01-20,Texas,Credit Card
T013,C1001,USB Cable,Electronics,3,12.99,38.97,2024-01-21,New York,Credit Card
T014,C1009,Running Jacket,Sports,1,89.99,89.99,2024-01-21,California,Debit Card
T015,C1005,Cookbook,Books,1,29.99,29.99,2024-01-22,New York,Cash
T016,C1010,Vitamin C,Health,2,19.99,39.98,2024-01-22,Florida,Credit Card
T017,C1002,Gaming Mouse,Electronics,1,49.99,49.99,2024-01-23,California,Debit Card
T018,C1011,Desk Lamp,Furniture,1,34.99,34.99,2024-01-23,Texas,Credit Card
T019,C1003,Resistance Bands,Sports,1,24.99,24.99,2024-01-24,Texas,Cash
T020,C1012,Shampoo,Personal Care,2,15.99,31.98,2024-01-24,New York,Credit Card
T021,C1006,Tablet Case,Electronics,1,29.99,29.99,2024-01-25,California,Credit Card
T022,C1013,Tea Set,Home,1,89.99,89.99,2024-01-25,Florida,Debit Card
T023,C1004,Fitness Tracker,Electronics,1,199.99,199.99,2024-01-26,Florida,Credit Card
T024,C1014,Novel,Books,1,14.99,14.99,2024-01-26,New York,Cash
T025,C1007,Blender,Appliances,1,119.99,119.99,2024-01-27,New York,Credit Card
T026,C1015,Sunglasses,Accessories,1,79.99,79.99,2024-01-27,California,Debit Card
T027,C1008,Monitor,Electronics,1,299.99,299.99,2024-01-28,Texas,Credit Card
T028,C1001,Power Bank,Electronics,1,39.99,39.99,2024-01-28,New York,Credit Card
T029,C1016,Sneakers,Sports,1,109.99,109.99,2024-01-29,Florida,Credit Card
T030,C1009,Face Cream,Personal Care,1,49.99,49.99,2024-01-29,California,Debit Card
